OMoD,Companies,Cantons,Zip_codes,Cities,Streets,Group,latitude,longitude
17700171,Tecom Communal AG,ZH,8331,Auslikon,Pfäffikerstr. 21,Remettantes,47.3436525,8.8071385
17700043,Huber + Suhner AG,ZH,8330,Pfäffikon ,Speckstrasse 24,Remettantes,47.3730451,8.7685233
17700016,Schellenberg Druck AG,ZH,8330,Pfäffikon Zh,Schützenhausstr. 5,Remettantes,47.3654979,8.7718319
17600157,PathoVet AG,ZH,8317,Tagelswangen,Buckstrasse 2,Remettantes,47.4339241,8.6728304
17600032,Keller & Kuhn,ZH,8315,Lindau,Lindau,Remettantes,47.4427924,8.6763383
17300049,Storrer Gebäude Technik,ZH,8335,Hittnau,Industriestr. 23,Remettantes,47.3668988,8.8180582
17200139,Celerion Switzerland AG,ZH,8320,Fehraltorf,Allmendstrasse 32,Remettantes,47.3942449,8.7405859
17200130,Abderhalden Fluids AG,ZH,8320,Fehraltorf,Luppmenstr. 11,Remettantes,47.3879333,8.7457817
17200083,Oro Clean Chemie AG,ZH,8320,Fehraltorf,Allmendstr. 21,Remettantes,47.392812,8.739859
16100275,Schmucki Gold- und Silberschmiede,ZH,8702,Zollikon,Buchholzstrasse 3,Remettantes,47.3384775,8.5749054
16100069,Tertianum Zollikerberg,ZH,8125,Zollikerberg,Sennhofweg 23,Remettantes,47.3463475,8.6074427
16000092,stahl u. form ag,ZH,8126,Zumikon  ZH,Schwäntenmos 1,Remettantes,47.3373013,8.6186879
16000025,Dr. W. Huber AG,ZH,8126,Zumikon,Strubenacher 1,Remettantes,47.3384213,8.6211494
15800277,Avantama LTD,ZH,8712, Stäfa,Laubesruetistrasse 50,Remettantes,47.237971,8.7473677
15800252,Schulhaus Obstgarten,ZH,8712,Stäfa,Tränkebachstrasse 39,Remettantes,47.2417796,8.7320199
15800237,"Pünter, Kasper u. Sonja, Gartenbau",ZH,8712,Stäfa,Glärnischstr. 56,Remettantes,47.2394686,8.7346091
15800155,Sensirion AG,ZH,8712,Stäfa,Labuisrütistr. 50,Remettantes,47.248963,8.7295995
15800027,Fam. G. Fürst,ZH,8712,Stäfa,Bahnhofstr. 32,Remettantes,47.2398713,8.7222017
15700042,pmc print media corporation,ZH,8618,Oetwil am See,Eichbühlstr. 27,Remettantes,47.3396906,8.7684918
15700019,Josef Zeller,ZH,8618,Oetwil am See,Wilikonerstr.,Remettantes,47.2691032,8.7236329
15700011,Federnfabrik Schmid AG,ZH,8618,Oetwil am See,Bergstr. 12,Remettantes,47.270191,8.7178485
15700003,Thomas Keller,ZH,8618,Oetwil am See,Langholz,Remettantes,47.2691032,8.7236329
15600201,Bächler Textilreinigung,ZH,8706,Meilen,Dorfstr. 57,Remettantes,47.2704243,8.6411806
15600010,"Schneider Umweltservice AG, Werkhof",ZH,8706,Meilen,Meilen,Remettantes,47.2694361,8.64875
15300185,"GETREIDEZÜCHTUNG PETER KUNZ, Verein für Kulturpflanzenentwicklung",ZH,8714,Feldbach,Seestrasse 6,Remettantes,47.2393768,8.7881891
15300163,Wohn- und Altersheim Brunisberg,ZH,8634,Hombrechtikon,Brunisberg 5,Remettantes,47.2626737,8.7354897
15300091,Pünter Stefan,ZH,8634,HOMBRECHTIKON,Etzelstrasse 43,Remettantes,47.2464626,8.7806983
15300026,Fritschi Gartenbau AG,ZH,8714,Feldbach,Kanalweg 4,Remettantes,47.2386467,8.7863614
13900052,Albis Optoelectronics AG,ZH,8803,Rüschlikon,Moosstr. 2,Remettantes,47.3030932,8.5452612
13800253,Wuhrmann Garten AG,ZH,8833,Samstagern,Obere Schwandenstrasse 6,Remettantes,47.2017046,8.6846909
13800035,Schweizerische Südostbahn,ZH,8833,Samstagern,Samstagern,Remettantes,47.1926627,8.6806174
13800034,Gemeinde Richterswil,ZH,8805,Richterswil,Glarnerstrasse 33,Remettantes,47.2041317,8.7093283
13800026,Carrosserie Rusterholz AG,ZH,8805,Richterswil,Untere Schwandenstr. 71,Remettantes,47.2024637,8.6895422
13800018,ASSA ABLOY (Schweiz) AG,ZH,8805,Richterswil,Untere Schwandenstr. 22,Remettantes,47.2043147,8.6872248
13500139,Lindt & Sprüngli,ZH,8802,Kilchberg,Pilgerweg 88,Remettantes,47.3159218,8.5533697
13500126,Dr. med. D. Teodosiu,ZH,8802,Kilchberg  ZH,Schützenmattstrasse 8,Remettantes,47.3211535,8.5442662
13500012,Bösch Classic Boats,ZH,8802,Kilchberg ZH,Seestrasse 197,Remettantes,47.3187927,8.552524
13100228,CM Malergeschäft GmbH,ZH,8134,Adliswil,Zelgstr. 28,Remettantes,47.3178186,8.5170692
12100750,Scheibler Gartenbau AG,ZH,8620,Wetzikon,Usterstrasse 10,Remettantes,47.3269802,8.7980816
12100659,Gewerbliche Berufsschule Wetzikon,ZH,8620,Wetzikon,Gewerbeschulstrasse 10,Remettantes,47.3256812,8.7952282
12100640,Alvisa 24 AG Region Zürich-Ostschweiz,ZH,8620,Wetzikon ZH,Buchgrindelstrasse 7,Remettantes,47.3302395,8.7906436
12100629,Uroclinic,ZH,8620,Wetzikon ZH,Kirchgasse 4,Remettantes,47.3261749,8.7976149
12100596,Encyan GmbH,ZH,8620,Wetzikon,Buchgrindelstrasse 13,Remettantes,47.330525,8.7896802
12100521,Nolle AG,ZH,8620,Wetzikon,Werkstrasse 13,Remettantes,47.3328985,8.7978323
12100201,Ernst Weber AG,ZH,8620,Wetzikon,Schellerstrasse 20,Remettantes,47.3221422,8.7866206
